titles,author_journal,abstracts,n_citations,author,journal,page,year
How does declining unionism affect the American middle class and intergenerational mobility?,"R Freeman, E Han, D Madland, BV Duke - 2015 - nber.org","… of the middle class and its relationship to intergenerational mobility. We use the PSID 1985
… geographical correlation between union density and intergenerational mobility. We find: 1) …",24,"R Freeman, E Han, D Madland, BV Duke",,nber.org,2015
The geography of family differences and intergenerational mobility,"R Gallagher, R Kaestner, J Persky - Journal of Economic …, 2019 - academic.oup.com","… of differences in intergenerational income mobility by place, … place in explaining
intergenerational income mobility. Then, … in expected intergenerational income mobility across …",14,"R Gallagher, R Kaestner, J Persky",Journal of Economic …,academic.oup.com,2019
The decline in intergenerational mobility in post-socialism: evidence from the Bulgarian case,"T Hertz, M Meurs, S Selcuk - World development, 2009 - Elsevier","… no effect on our estimates of intergenerational mobility, since these regression coefficients
are … in intergenerational educational mobility, that is, a rise in the intergenerational regression …",25,"T Hertz, M Meurs, S Selcuk",World development,Elsevier,2009
Intergenerational mobility in the very long run: Florence 1427–2011,"G Barone, S Mocetti - The Review of Economic Studies, 2021 - academic.oup.com","… importantly, the coefficient of interest in the second stage is largely unaffected: some form
of selection is at work but it does not shape our result on long-run intergenerational mobility. …",16,"G Barone, S Mocetti",The Review of Economic Studies,academic.oup.com,2021
The impact of higher education expansion on intergenerational mobility: Evidence from China,"Z Li, H Zhong - Economics of Transition, 2017 - Wiley Online Library","… In this paper, we try to examine the effect of expansion of higher education on intergenerational
mobility in China. Our paper makes three contributions to the literature. First, although …",16,"Z Li, H Zhong",Economics of Transition,Wiley Online Library,2017
Intergenerational mobility: New evidence from consumption data,"G Bruze - Journal of Applied Econometrics, 2018 - Wiley Online Library","… on consumption mobility has not reached a consensus on the extent of intergenerational …
According to the main mobility estimates in this paper, the intergenerational elasticity of …",17,G Bruze,Journal of Applied Econometrics,Wiley Online Library,2018
Shifts in intergenerational mobility of Indian immigrant entrepreneurs,"M Chavan, L Taksa - International Migration, 2017 - Wiley Online Library","The objective of this article is to examine the shift in the intergenerational mobility of Indian
immigrant entrepreneurs in Australia. Based on a qualitative methodology, this article reports …",22,"M Chavan, L Taksa",International Migration,Wiley Online Library,2017
The effects of measurement error and omitted variables when using transition matrices to measure intergenerational mobility,"D O'Neill, O Sweetman - The Journal of Economic Inequality, 2007 - Springer","… In addition we show that variation in intergenerational mobility indices across countries
could be explained by differences in data reliability rather than differences in the underlying …",33,"D O'Neill, O Sweetman",The Journal of Economic Inequality,Springer,2007
An analysis of intergenerational mobility in Pakistan,"Z Pervaiz, S Akram - Int J Bus Res, 2019 - researchgate.net","… that there is less intergenerational mobility and hence more likelihood that … intergenerational
mobility. Primarily, the interest of social scientists in the theme of intergenerational mobility …",5,"Z Pervaiz, S Akram",Int J Bus Res,researchgate.net,2019
Intergenerational mobility: Evidence from Pakistan panel household survey,"SA Javed, M Irfan - The Pakistan Development Review, 2014 - JSTOR","… of opportunity underlies intergenerational education, occupational or earning mobility has
… It may, however, be noted that in this study descriptive analysis of intergenerational mobility …",22,"SA Javed, M Irfan",The Pakistan Development Review,JSTOR,2014
Economic liberalization and intergenerational mobility in occupational status,"A Gugushvili - Comparative Sociology, 2015 - brill.com","One of the most important components of post-socialist transition has been economic
liberalization. This article inquiries into how the latter is associated with intergenerational mobility …",17,A Gugushvili,Comparative Sociology,brill.com,2015
Intergenerational mobility: A dream deferred,"M Nybom - International Labour Organisation …, 2018 - … .fundacionfelipegonzalez.cotec.es","… This report reviews evidence on the extent of intergenerational mobility (or inversely, … key
factors that contribute to higher mobility.The focus is on mobility as it relates to the world of work …",11,M Nybom,International Labour Organisation …,… .fundacionfelipegonzalez.cotec.es,2018
Intergenerational mobility,"F Torche - Pathways Magazine Special Issue: State of the …, 2017 - inequality.stanford.edu","… at the mobility profiles of people born around 1960, for whom intergenerational mobility …
Figure 1 considers two measures of upward mobility.The two bars on the left side of the figure …",6,F Torche,Pathways Magazine Special Issue: State of the …,inequality.stanford.edu,2017
Explaining intergenerational mobility: The role of fertility and family transfers,"D Daruich, J Kozlowski - Review of Economic Dynamics, 2020 - Elsevier","… determine intergenerational mobility? We study the sources of intergenerational mobility …
and family choices can also lead to lower intergenerational mobility, as the children of richer …",13,"D Daruich, J Kozlowski",Review of Economic Dynamics,Elsevier,2020
Intergenerational mobility in educational and occupational status: evidence from the US,"A Nguyen, H Getinet - 2003 - mpra.ub.uni-muenchen.de","… suggestion to investigate intergenerational mobility using non-… the contemporary
intergenerational mobility in education and … intergenerational mobility are also highlighted in this …",16,"A Nguyen, H Getinet",,mpra.ub.uni-muenchen.de,2003
Measurement error in occupation and the impact on intergenerational mobility,"C Houseworth, J Fisher - Research in Social Stratification and Mobility, 2020 - Elsevier","… intergenerational mobility tables. If the classification schemes used to measure intergenerational
mobility … is washed away when fewer classes are used in the mobility tables. Second, …",6,"C Houseworth, J Fisher",Research in Social Stratification and Mobility,Elsevier,2020
Estimating intergenerational mobility with incomplete data: Coresidency and truncation bias in rank-based relative and absolute mobility measures,"MS Emran, F Shilpi - Available at SSRN 3015532, 2017 - papers.ssrn.com","… of a sample of recent papers on intergenerational mobility on developing countries in Table
1; most of the papers use IGRC as the measure of intergenerational mobility, and the most …",19,"MS Emran, F Shilpi",Available at SSRN ,papers.ssrn.com,3015532
Marriage and the intergenerational mobility of women: Evidence from marriage certificates 1850-1910,"J Craig, K Eriksson, GT Niemesh - 2019 - niemesgt.github.io","… With our sample of matched father-son and father-daughter pairs across two cohorts of
marriages (1850-79 and 1880-1910), we compare male and female intergenerational mobility …",9,"J Craig, K Eriksson, GT Niemesh",,niemesgt.github.io,2019
Rising inequality and intergenerational mobility: The role of public investments in human capital,"A Aizer - CESifo economic studies, 2014 - academic.oup.com","… that inequality affects intergenerational mobility by changing … income inequality on
intergenerational mobility and inequality … improvements in intergenerational mobility and …",20,A Aizer,CESifo economic studies,academic.oup.com,2014
"Class background, reception context, and intergenerational mobility: A record linkage and surname analysis of the children of Irish immigrants","DS Connor - International Migration Review, 2020 - journals.sagepub.com","… and replicable opportunities to study intergenerational mobility in migrant populations. I …
preferred sample for studying Irish-American intergenerational mobility (“Linked Sample”). …",19,DS Connor,International Migration Review,journals.sagepub.com,2020
Intergenerational mobility of low‐income youth in metropolitan and non‐metropolitan America: A spatial analysis,"B Weber, JM Fannin, K Miller… - Regional Science Policy …, 2018 - Wiley Online Library","… There have been significant advances in the study of intergenerational economic mobility …
This research has established that intergenerational mobility in the United States is lower …",19,"B Weber, JM Fannin, K Miller…",Regional Science Policy …,Wiley Online Library,2018
"How marriage matters for the intergenerational mobility of family income: Heterogeneity by gender, life course, and birth cohort","S Choi, I Chung, R Breen - American Sociological Review, 2020 - journals.sagepub.com","… and mobility in the study of intergenerational transmission. … of intergenerational
transmission, yet mobility research … Integrating mobility and marriage promises to rectify this …",9,"S Choi, I Chung, R Breen",American Sociological Review,journals.sagepub.com,2020
Income and occupational intergenerational mobility in New Zealand,M Gibbons - 2010 - econstor.eu,"… Intergenerational mobility research quantifies the relationship … tentatively quantifies
intergenerational economic mobility in … that rates of intergenerational income mobility for men and …",21,M Gibbons,,econstor.eu,2010
Intergenerational mobility and changes in drug use across the life course,"CR Dennison - Journal of Drug Issues, 2018 - journals.sagepub.com","… association between intergenerational mobility and … intergenerational mobility to be positively
associated with drug use during adulthood. Furthermore, I expect greater intergenerational …",13,CR Dennison,Journal of Drug Issues,journals.sagepub.com,2018
Feminized intergenerational mobility without assimilation? Post-1965 US immigrants and the gender revolution,"J Park, SJ Nawyn, MJ Benetsky - Demography, 2015 - read.dukeupress.edu","… mobility specific to second-generation women. In this article, we analyze the intergenerational
mobility of … We find that intergenerational mobility does not necessarily result in closing the …",24,"J Park, SJ Nawyn, MJ Benetsky",Demography,read.dukeupress.edu,2015
When less conditioning provides better estimates: Overcontrol and collider bias in research on intergenerational mobility,M Grätz - 2019 - diva-portal.org,"… mobility. Torche (2015) touched on some of the issues that arise if we apply the counterfactual
framework of causality to the study of intergenerational mobility, … intergenerational mobility …",11,M Grätz,,diva-portal.org,2019
On intergenerational (im) mobility in Latin America,"C Daude, V Robano - Latin American Economic Review, 2015 - Springer","… This paper studies intergenerational mobility in Latin … explores country differences in
intergenerational mobility. While in … redistributive policies that improve intergenerational mobility. …",50,"C Daude, V Robano",Latin American Economic Review,Springer,2015
Disparate Impacts of Job Loss by Parental Income and Implications for Intergenerational Mobility,"M Kaila, E Nix, K Riukula - 2021 - conference.iza.org","… intergenerational mobility. Investigating how responses to labor market shocks might vary by
parental income and impact intergenerational mobility is … on intergenerational mobility and …",4,"M Kaila, E Nix, K Riukula",,conference.iza.org,2021
Intergenerational mobility and dynastic inequality,"SMR Kanbur, JE Stiglitz - 1986 - princeton.edu","… of mobility in a social welfare framework. In particular, we emphasize the consequences of
alternative mobility … the implied partial ordering of mobility structures to several conventional …",32,"SMR Kanbur, JE Stiglitz",,princeton.edu,1986
The role of intergenerational mobility in internal migration,"JS Kim, J Lee - Economic modelling, 2019 - Elsevier","… We advance this literature by linking intergenerational mobility to geographic mobility…
intergenerational earnings mobility. While the two papers investigate the intergenerational mobility …",8,"JS Kim, J Lee",Economic modelling,Elsevier,2019
A multilevel analysis of perceived intergenerational mobility and welfare state preferences,"A Gugushvili - International Journal of Social Welfare, 2019 - Wiley Online Library","… that differentiates the intergenerational mobility concept of … between perceived intergenerational
mobility and support for … in both the rates of intergenerational mobility (Bukodi, Paskov, & …",13,A Gugushvili,International Journal of Social Welfare,Wiley Online Library,2019
Robust determinants of intergenerational mobility in the land of opportunity,"A Kourtellos, C Marr, CM Tan - European Economic Review, 2016 - Elsevier","… in the recent literature regarding intergenerational mobility – how dependent … intergenerational
mobility across time. While some studies have shown that intergenerational mobility …",13,"A Kourtellos, C Marr, CM Tan",European Economic Review,Elsevier,2016
"Intergenerational mobility in East Asian countries: a comparative study of Japan, Korea and China","H Takenoshita - International Journal of Japanese Sociology, 2007 - Wiley Online Library","… could apply to intergenerational mobility in East Asian countries … intergenerational mobility
in East Asian countries, and to examine whether the FJH hypothesis would fit well into mobility …",20,H Takenoshita,International Journal of Japanese Sociology,Wiley Online Library,2007
Intragenerational versus intergenerational mobility in relation to sociopolitical attitudes,"M Hout - 1983 - Beverly Hills (CA), Sage",,627,M Hout,,"Beverly Hills (CA), Sage",1983
Estimating intergenerational mobility with coarse data: A nonparametric approach,"J Lopreato, LE Hazelrigg - Social Forces, 1970 - academic.oup.com","… for intragenerational mobility than for mobility between generations."" Thus, his theory for …
In industrial society, barriers to intergenerational mobility are both less frequently encountered …",16,"J Lopreato, LE Hazelrigg",Social Forces,academic.oup.com,1970
Measuring intergenerational mobility and equality of opportunity,"S Asher, P Novosad, C Rafkin - Working Paper, 2017 - conference.iza.org","… Fourth, we present new national and subgroup estimates of upward mobility in India that
are robust to coarse parent data; to our knowledge, the declining intergenerational mobility of …",13,"S Asher, P Novosad, C Rafkin",Working Paper,conference.iza.org,2017
Disparate Impacts of Job Loss by Parental Income and Implications for Intergenerational Mobility,"D Van de Gaer, M Martinez, E Schokkaert - 1998 - ideas.repec.org","… This paper explores the link between the measurement of intergenerational mobility and the
… intergenerational context. This throws a new light on the interpretation of existing mobility …",24,"D Van de Gaer, M Martinez, E Schokkaert",,ideas.repec.org,1998
Local intergenerational mobility,"A Kourtellos, C Marr, CM Tan - European Economic Review, 2020 - Elsevier","… show that intergenerational mobility exhibits … of intergenerational mobility. Moreover, we
find evidence that suggests cognitive abilities play a role in explaining intergenerational mobility. …",8,"A Kourtellos, C Marr, CM Tan",European Economic Review,Elsevier,2020
Family and class formation: intergenerational mobility and marriage patterns in nineteenth-century Westphalian towns,"J Kocka - Journal of Social History, 1984 - JSTOR","… mobility comparable with intergenerational mobility … of occupational-intergenerational and
of connubial mobility moved in … in intergenerational occupational and connubial mobility went …",38,J Kocka,Journal of Social History,JSTOR,1984
Essays on intergenerational mobility,E Risa - 2019 - openaccess.nhh.no,"… this dissertation is intergenerational mobility. One definition of intergenerational mobility is
“… Norway In this paper we analyze intergenerational mobility in Norway for cohorts of children …",5,E Risa,,openaccess.nhh.no,2019
"The great gatsby goes to college: Tuition, inequality and intergenerational mobility in the us",D Capelle - 2019 - congress-files.s3.amazonaws.com,"… education in shaping income inequality and intergenerational mobility. I introduce a model
… -income students from top colleges, and the intergenerational elasticity of earnings (IGE), all …",11,D Capelle,,congress-files.s3.amazonaws.com,2019
Intergenerational mobility in education and occupation and the effect of schooling on youth's earnings in Brazil,"MO Garcias, AL Kassouf - EconomiA, 2021 - Elsevier","… intergenerational mobility. The results obtained show great intergenerational educational
mobility… levels of education, and slightly less occupational mobility. To analyze the returns to …",5,"MO Garcias, AL Kassouf",EconomiA,Elsevier,2021
igmobil: A command for intergenerational mobility analysis in Stata,"M Savegnago - The Stata Journal, 2016 - journals.sagepub.com","… In this article, I describe a new command, igmobil, that computes up to 20 intergenerational
mobility (IGM) indices for continuous (that is, income or years of education) or discrete (that is…",9,M Savegnago,The Stata Journal,journals.sagepub.com,2016
The theory of the family and intergenerational mobility: An empirical test,"G Catsiapis, C Robinson - The Journal of Human Resources, 1981 - JSTOR","108 THE JOURNAL OF HUMAN RESOURCES where A, is"" mental ability""(measured in
deviation form). At is a direct measure of the child's endowment; however, it presumably does …",17,"G Catsiapis, C Robinson",The Journal of Human Resources,JSTOR,1981
Intergenerational mobility of the Mexican-origin population in California and Texas relative to a changing regional mainstream,"J Park, D Myers, TR Jiménez - International Migration …, 2014 - journals.sagepub.com","… Assessing intergenerational mobility without … mobility owes to assimilation within the
immigrant group, and how much of the mobility is due to larger trends that condition the mobility of …",24,"J Park, D Myers, TR Jiménez",International Migration …,journals.sagepub.com,2014
Labor market polarization and intergenerational mobility: Theory and evidence,JL Hennig - 2021 - econstor.eu,"… As upward mobility is … intergenerational mobility across space. Exploiting commuting-zone
variation, I identify the causal impact of labor market polarization on intergenerational mobility …",4,JL Hennig,,econstor.eu,2021
Intergenerational mobility: new evidence from the Longitudinal Surveys of Australian Youth,"G Redmond, M Wong, B Bradbury, I Katz - 2014 - ncver.edu.au","… of changes in intergenerational mobility in Australia since the … The analysis suggests that in
general intergenerational mobility … A recording of the webinar Intergenerational mobility: new …",22,"G Redmond, M Wong, B Bradbury, I Katz",,ncver.edu.au,2014
Intergenerational mobility after expanding educational opportunities: A quasi experiment,F Meneses - 2021 - ecineq.org,"… Intergenerational mobility has been linked to both the quality of neighborhoods and the
quality of schools and schooling. Understanding the incremental value of investments in …",4,F Meneses,,ecineq.org,2021
The racial implications of the effects of parental incarceration on intergenerational mobility,"M Shaw - Sociology Compass, 2016 - Wiley Online Library","… on the intergenerational effects of mass incarceration that limit intergenerational mobility, such
… Using existing literature in the field, the review highlights the workings of intergenerational …",14,M Shaw,Sociology Compass,Wiley Online Library,2016
"… Remedial Education in Late Childhood Pay Off After All? Long-Run Consequences for University Schooling, Labor Market Outcomes, and Intergenerational Mobility","V Lavy, A Kott, G Rachkovski - Journal of Labor Economics, 2022 - journals.uchicago.edu","… We find a significant increase in income intergenerational mobility among the treated group
compared with the control group. We also find an increase in marriage rates and number of …",13,"V Lavy, A Kott, G Rachkovski",Journal of Labor Economics,journals.uchicago.edu,2022
On the relationship between income inequality and intergenerational mobility,"T Smeeding - Growing Inequalities' Impacts Inequality Working …, 2013 - www1feb-uva.nl","… intergenerational mobility (IGM). Most studies of IGM look backward over the past 45/50 years
measuring the mobility … that precede the final analyses of mobility based on the traditional …",14,T Smeeding,Growing Inequalities' Impacts Inequality Working …,www1feb-uva.nl,2013
Human capital spill-overs and the geography of intergenerational mobility,"B Abbott, G Gallipoli - Review of Economic Dynamics, 2017 - Elsevier","… differences in intergenerational mobility across regions. An … geographic variation in
intergenerational mobility rates may … directly affect the intergenerational persistence of earnings. …",15,"B Abbott, G Gallipoli",Review of Economic Dynamics,Elsevier,2017
A new methodological approach for studying intergenerational mobility with an application to Swiss data,"B Jann, S Seiler - 2014 - boris.unibe.ch","… little is known about the development of intergenerational mobility in Switzerland. Based on
a … For example, it provides smooth estimates of changes in social mobility that have a clear …",11,"B Jann, S Seiler",,boris.unibe.ch,2014
A new old measure of intergenerational mobility: Iowa 1915 to 1940,"JJ Feigenbaum - Unpublished Manuscript, 2014 - oconnell.fas.harvard.edu","… are the earliest intergenerational mobility parameters for … the question of how intergenerational
mobility changed both … , I present my estimates of intergenerational mobility in the early …",12,JJ Feigenbaum,Unpublished Manuscript,oconnell.fas.harvard.edu,2014
Does public investment promote intergenerational mobility? Who really benefits?,"L Song - Social Indicators Research, 2021 - Springer","… may promote intergenerational mobility. Before … intergenerational mobility be promoted.
Otherwise, public investment will have little influence on promoting the intergenerational mobility. …",1,L Song,Social Indicators Research,Springer,2021
"Share the love: Parental bias, women empowerment and intergenerational mobility","E Asiedu, TT Azomahou, Y Getachew… - Journal of Economic …, 2021 - Elsevier","… In this section, we assess intergenerational mobility out of traditional sector to modern …
equally and hence we expect more intergenerational occupation mobility for both genders. …",1,"E Asiedu, TT Azomahou, Y Getachew…",Journal of Economic …,Elsevier,2021
Gender and intergenerational mobility: Using health outcomes to compare intergenerational mobility across gender and over time,"J Parman - UC-Davis Working Paper, 2010 - econ.pitt.edu","… approach to estimating intergenerational mobility that relies … intergenerational mobility that
can be consistently interpreted over time and across genders. Using a new intergenerational …",14,J Parman,UC-Davis Working Paper,econ.pitt.edu,2010
"When measure matters: Coresidency, truncation bias, and intergenerational mobility in developing countries","MS Emran, WH Greene, F Shilpi - World Bank Policy Research …, 2016 - papers.ssrn.com","… on intergenerational economic mobility. First, our analysis implies that much progress in
understanding intergenerational mobility … on IGC as the measure of mobility. These data sets are …",12,"MS Emran, WH Greene, F Shilpi",World Bank Policy Research …,papers.ssrn.com,2016
"Stratification, social networks in the labour market, and intergenerational mobility","D Anderberg, F Andersson - The Economic Journal, 2007 - academic.oup.com","… of intergenerational mobility will hinge on the altruistic link between generations. …
intergenerational mobility and explore the relation between asymmetric outcomes and mobility…",23,"D Anderberg, F Andersson",The Economic Journal,academic.oup.com,2007
"Italian and Jewish Intergenerational Mobility: New York, 1910","SW Model - Social Science History, 1988 - cambridge.org","… Still, if one assumes that the data provide at least rough grounds for interethnic comparison,
a conclusion that ethnicity guided the process of intergenerational mobility for these youths …",17,SW Model,Social Science History,cambridge.org,1988
"A teacher unlike me: Social distance, learning, and intergenerational mobility in developing countries","N Karachiwalla - Economic Development and Cultural …, 2019 - journals.uchicago.edu","Same-type teachers are believed to improve the learning outcomes of disadvantaged students.
This paper examines an understudied characteristic—caste—with rich longitudinal data …",13,N Karachiwalla,Economic Development and Cultural …,journals.uchicago.edu,2019
The gap between educational & social intergenerational mobility in Arab countries,"A Driouchi, A Gamar - 2016 - mpra.ub.uni-muenchen.de","… lower social mobility but higher intergenerational mobility in educational attainment. While
social mobility in Algeria is not statistically different from zero, educational mobility appears to …",10,"A Driouchi, A Gamar",,mpra.ub.uni-muenchen.de,2016
Intergenerational mobility modes and changes in social class in contemporary China,"L Lulu, Z Bin - Social Sciences in China, 2017 - Taylor & Francis","… situation of intergenerational mobility among social classes in China over the past 60 years.
General social mobility was … Despite this, intergenerational inheritance was the main form of …",13,"L Lulu, Z Bin",Social Sciences in China,Taylor & Francis,2017
The effects of China's higher education expansion on urban and rural intergenerational mobility,"Y Duan, H Zhang, W Wang, X Ao - China Economic Review, 2022 - Elsevier","… on intergenerational mobility of rural … intergenerational persistence after CHEE, undergraduate
or postgraduate education can still significantly promote rural intergenerational mobility in …",1,"Y Duan, H Zhang, W Wang, X Ao",China Economic Review,Elsevier,2022
Gender differences in intergenerational mobility in Mexico,"F Torche - Documento de trabajo, 2015 - ceey.org.mx","… intergenerational reproduction to be stronger for males. The incorporation of women to the
analysis of mobility also … I examine intergenerational mobility at the household rather than the …",11,F Torche,Documento de trabajo,ceey.org.mx,2015
Tied to the land? intergenerational mobility and agrarian reform in colombia,"JS Galán - Under Review, 2018 - economia.uniandes.edu.co","… This study examines the intergenerational impacts of providing land to the rural poor. I use
… that the children of recipients exhibit higher intergenerational mobility. In contrast to the view …",9,JS Galán,Under Review,economia.uniandes.edu.co,2018
Intergenerational mobility in Italy,"I Brunetti, D Fiaschi - Discussion Papers Department of …, 2010 - academia.edu","… In the following we will study the intergenerational mobility across Italian households in terms
of their educational attainment and occupational status. In the next section we describe the …",10,"I Brunetti, D Fiaschi",Discussion Papers Department of …,academia.edu,2010
Intergenerational mobility and the informative content of surnames,"JVR Mora, CC Telmer - 2007 - repec.cepr.org","… We propose a new methodology for measuring intergenerational mobility in economic …
for intergenerational panel data, a long-standing stumbling block for understanding mobility. …",15,"JVR Mora, CC Telmer",,repec.cepr.org,2007
The determinants of income segregation and intergenerational mobility: Using test scores to measure undermatching,"R Chetty, JN Friedman, E Saez, N Turner, D Yagan - 2020 - nber.org","… across colleges and intergenerational mobility in the United … such changes could reduce
intergenerational income persistence … segregation and increase intergenerational mobility, even …",10,"R Chetty, JN Friedman, E Saez, N Turner, D Yagan",,nber.org,2020
Intergenerational mobility in Australia: national and regional estimates using administrative data,"N Deutscher, B Mazumder - 2019 - lifecoursecentre.org.au","… the first estimates of intergenerational mobility in Australia using tax data covering over a
million individuals born between 1978 and 1982. We find that the intergenerational elasticity in …",10,"N Deutscher, B Mazumder",,lifecoursecentre.org.au,2019
"More inequality, less social mobility","D Andrews, A Leigh - Applied economics letters, 2009 - Taylor & Francis","… We investigate the relationship between inequality and intergenerational mobility. Proxying
fathers' earnings with using detailed occupational data, we find that sons who grew up in …",330,"D Andrews, A Leigh",Applied economics letters,Taylor & Francis,2009
Intergenerational earnings mobility in Italy,"S Mocetti - The BE Journal of Economic Analysis & Policy, 2007 - degruyter.com","… This paper contributes to the growing number of studies on intergenerational mobility by …
of Household Income and Wealth, shows that intergenerational mobility is lower in Italy than it is …",124,S Mocetti,The BE Journal of Economic Analysis & Policy,degruyter.com,2007
Love and money: Intergenerational mobility and marital matching,"J Blanden - Analytical Studies Branch Research Paper Series …, 2005 - Citeseer","… In this paper we use unique data to explore intergenerational mobility and assortative mating
in … Estimates of the intergenerational mobility relationship for sons indicate that Canada is …",24,J Blanden,Analytical Studies Branch Research Paper Series …,Citeseer,2005
Intergenerational mobility and income inequality,"JL Spenkuch - Inequality and Economic Policy: Essays in …, 2015 - kellogg.northwestern.edu","… work that links human capital to intergenerational mobility and crosssectional inequality. We
… ciently strong, our theory predicts lower intergenerational mobility at the top of the income …",9,JL Spenkuch,Inequality and Economic Policy: Essays in …,kellogg.northwestern.edu,2015
Life Satisfaction and Intergenerational Mobility Among Older Hispanics in the United States,"L Ramirez Surmeier, MG Taylor… - Journal of Aging and …, 2022 - journals.sagepub.com","… suggests the returns of upward mobility for quality of life may … in the impact of intergenerational
mobility, net of one’s own … conceptualize and measure intergenerational mobility as the …",NA,"L Ramirez Surmeier, MG Taylor…",Journal of Aging and …,journals.sagepub.com,2022
Intergenerational mobility: A comparative study between Turkey and the United States,"S Ozdural - Economics letters, 1993 - Elsevier","… I examine the degree of intergenerational mobility in Turkey, through the effect of parental
education on economic welfare. Parental education is important for the quantity of education …",14,S Ozdural,Economics letters,Elsevier,1993
Neighbourhood effects in cross-Atlantic perspective: A longitudinal analysis of impacts on intergenerational mobility in the USA and Germany,"J Howell - Urban Studies, 2019 - journals.sagepub.com","… conditions affect intergenerational mobility. However, what … neighbourhood effects on
intergenerational mobility in the USA … neighbourhood effects on intergenerational mobility – a …",10,J Howell,Urban Studies,journals.sagepub.com,2019
Distributional effects of a continuous treatment with an application on intergenerational mobility,"B Callaway, W Huang - Oxford Bulletin of Economics and …, 2020 - Wiley Online Library","… by our application on intergenerational income mobility, but … of our application on
intergenerational mobility, but the same … existing work on intergenerational income mobility in …",9,"B Callaway, W Huang",Oxford Bulletin of Economics and …,Wiley Online Library,2020
The Intergenerational Mobility of Income: A Study Applied to the Spanish Case (2005–2011),"NS Martín, C Garcia-Perez - Journal of Family and Economic Issues, 2022 - Springer","… Intergenerational income mobility has attracted the interest of … In this paper, we analyse the
intergenerational mobility of … ) to study intergenerational income mobility, because there are …",NA,"NS Martín, C Garcia-Perez",Journal of Family and Economic Issues,Springer,2022
Getting ahead or losing ground: Economic mobility in America.,"JB Isaacs, IV Sawhill, R Haskins - Brookings Institution, 2008 - ERIC","… new evidence on both the extent of intergenerational mobility in the United States and the …
in relative mobility since about 1970, although a few studies suggest that relative mobility may …",323,"JB Isaacs, IV Sawhill, R Haskins",Brookings Institution,ERIC,2008
Escape from poverty: Determinants of intergenerational mobility of sons and daughters of the poor,"Y Cohen, A Tyree - Social Science Quarterly, 1986 - search.proquest.com","… Put differently, we propose that the intergenerational escape from poverty is more than just
a less lucrative expression of the processes governing the income mobility of most Americans…",30,"Y Cohen, A Tyree",Social Science Quarterly,search.proquest.com,1986
Social origins of support for democracy: a study of intergenerational mobility,"A Gugushvili - International Review of Sociology, 2020 - Taylor & Francis","… mobility (Gugushvili, in press). But when the answers on subjective intergenerational mobility
… (measuring collective mobility), subjective intergenerational mobility still maintains unique …",5,A Gugushvili,International Review of Sociology,Taylor & Francis,2020
Public Education Inequality and Intergenerational Mobility,"A Zheng, J Graham - American Economic Journal: Macroeconomics, 2022 - aeaweb.org","… intergenerational mobility and accounts for the spatial correlation between house prices and
mobility. A … mobility and welfare. However, the benefits can take generations to be realized. …",7,"A Zheng, J Graham",American Economic Journal: Macroeconomics,aeaweb.org,2022
"Exams, districts, and intergenerational mobility: Evidence from South Korea","YS Lee - Labour Economics, 2014 - Elsevier","… This paper examines how student assignment rules impact intergenerational mobility…
intergenerational income elasticity. Results indicate that the reform increased the intergenerational …",11,YS Lee,Labour Economics,Elsevier,2014
Ethnic and gender differences in intergenerational mobility: a study of 26‐year‐olds in the USA,"A Nguyen, G Haile, J Taylor - Scottish Journal of Political …, 2005 - Wiley Online Library","… biased estimates of intergenerational mobility. Taking this into … paper to estimate
intergenerational mobility among a sample … comprehensive picture of intergenerational mobility …",15,"A Nguyen, G Haile, J Taylor",Scottish Journal of Political …,Wiley Online Library,2005
Parental background matters: Intergenerational mobility and assimilation of Italian immigrants in Germany,"T Bönke, G Neidhöfer - German Economic Review, 2018 - Wiley Online Library","… integration and low social mobility of immigrants. An intergenerational assimilation model
is … of Italian immigrants exhibit high intergenerational mobility and no less opportunity than …",15,"T Bönke, G Neidhöfer",German Economic Review,Wiley Online Library,2018
"Essays on intergenerational mobility and its variation over time, place and family structure",J Blanden - 2005 - search.proquest.com,"… mobility in the UK is due to increasingly unequal access to higher education. The majority of
the literature on intergenerational mobility … mating in intergenerational mobility. For the UK, I …",33,J Blanden,,search.proquest.com,2005
"Higher education, intergenerational mobility and earnings: the case of the UK","P Elias, K Purcell - Western Economic Association annual conference …, 2011 - Citeseer","… earnings and promote inter-generational mobility, economists and sociologists provide …
to explore the relationship between intergenerational social mobility and higher education. …",15,"P Elias, K Purcell",Western Economic Association annual conference …,Citeseer,2011
Industrial segmentation and men's intergenerational mobility,"CM Tolbert - Social Forces, 1983 - academic.oup.com","… The data for this analysis of intergenerational mobility are … mobility constitutes something
of a conservative initial test of the effects of industrial segmentation on intergenerational mobility…",21,CM Tolbert,Social Forces,academic.oup.com,1983
The effects of racial segregation on intergenerational mobility: Evidence from historical railroad placement,"E Chyn, K Haggag, B Stuart - 2022 - bryan-stuart.com","… Our IV estimates reveal that racial segregation reduces the intergenerational mobility of Black
children, with especially large effects for those from the poorest families. For a child whose …",2,"E Chyn, K Haggag, B Stuart",,bryan-stuart.com,2022
